id,text,label,control,trap
ID1922606600-641,Dazu schreibt der Konzernbetriebsrat an die Bosse des Vorstandes – ich zitiere –:,Betriebliche Mitbestimmung und Betriebsräte,NA,NA
ID1917314300-92,"Ich konzentriere mich jetzt aber nicht auf die Traumata der AfD – das machen wir demnächst wieder, morgen zum Beispiel –, sondern kurz auf drei Themen, die diesen Gesetzentwurf betreffen, drei kritische Punkte.",AfD und parlamentarische Prozesse,TRUE,NA
ID1913006300-324,"Liberale Entwicklungspolitik ist innovativ, fair und nachhaltig. Lassen Sie uns auf Augenhöhe mit Entwicklungsländern agieren und die Privatwirtschaft mit ins Boot holen. Ansonsten sind diese Länder den geopolitischen Interessen Chinas und seinen Staatskonzernen ausgeliefert. In Ruanda, einem Vorreiterland, wird Investoren der rote Teppich ausgerollt. Der fade Beigeschmack: Wirtschaftlicher Fortschritt geht dort nicht mit Demokratisierung einher. Ruanda nimmt sich nämlich China und nicht die westlichen Demokratien zum Vorbild.",Entwicklungszusammenarbeit und humanitäre Hilfe,NA,NA
ID1918701900-504,"Ich mache mal den Erklärbär für die AfD: Ein Parlamentarischer Untersuchungsausschuss hat die Funktion, Beweise zu erheben. Der Job des Untersuchungsausschusses ist es nicht, zu prüfen, welche naturwissenschaftliche Auffassung die richtige ist. Zum Glück leben wir nicht in einem Land, in der Parlament oder Regierung Wissenschaft bewerten.",Untersuchungsausschüsse und Verantwortlichkeit,NA,NA
ID192206500-488,"Zum Abschluss noch eins, Herr Kauder. Man könnte noch zu vielen Dingen etwas sagen. Zu Europa müsste man dringend etwas sagen. Hören Sie endlich auf, Macrons Vorschläge immer als Transferunion zu diffamieren!",Deutsch-Französische Partnerschaft und Integration,NA,NA
ID2010912300-170,"Mit ihrer Petition und ihren beeindruckenden Beiträgen in der Anhörung im Petitionsausschuss haben sie, die Frauen selbst, den Grundstein für eine überfällige Verbesserung gelegt.",Geschlechtergleichstellung und Gewaltprävention,NA,NA
ID203906900-352,"Statt des Rechts auf schnelles Internet kommt ein Recht auf das lahmstmögliche Internet: 10 Mbit Download- und 1,7 Mbit Uploadgeschwindigkeit. Und selbst dieser mickrige Rechtsanspruch kommt nicht, wie versprochen, zum 1. Juni 2022, noch wirkt er, wie versprochen, kurzfristig.",5G-Netzausbau und Sicherheit,NA,NA
ID2013900700-74,"Zum anderen: Das Budgetrecht des Parlaments ist das vornehmste Recht des Deutschen Bundestages. Vielleicht könnten auch Sie mit überlegen, ob wir uns das nicht sichern sollten als Parlament. Deswegen bitte ich, dass wir den Haushalt 2024 rechtzeitig vor Ende des Jahres abschließen,",Haushaltspolitik und Schuldenmanagement,TRUE,NA
ID1923801700-290,"Jetzt, wo der Einsatz zu Ende ist, kommt es wieder auf die Bundeswehr an. Sie hat wieder einen Auftrag, und sie erfüllt den Auftrag mit Bravour. Innerhalb von wenigen Tagen ist es der Bundeswehr gelungen, die größte Luftbrücke ihrer Geschichte zu installieren und zu betreiben. In Kabul hebt im Moment alle 10 Minuten ein Flugzeug ab. Über 4 000 Menschen wurden bereits gerettet.",Afghanistan-Einsatz und Folgen,NA,NA
ID19401200-597,"Wir sehen durchaus die Teilerfolge. Ja, der IS wurde weit zurückgedrängt. Ja, ein Großteil des vom IS kontrollierten Gebiets konnte zurückgewonnen werden. Wir danken daher an dieser Stelle den im Ausland befindlichen Soldaten für ihre Aufklärungsflüge, für die Betankung der Flugzeuge unserer Bündnispartner, für ihren gesamten Einsatz. Unsere Soldaten haben ihre Arbeit und ihren Auftrag vorbildlich erfüllt. Vielen Dank!",Militärische Unterstützung im Irak,NA,NA
ID1923613900-707,"Ich danke allen meinen Mitarbeiter/‑innen aus vier Legislaturperioden. Wir waren gute Teams für eine bunte, solidarische, freie und gleichgestellte Gesellschaft.",Dank und Zusammenarbeit,NA,NA
ID1911502400-20,"Sehr geehrte Frau Präsidentin! Meine sehr verehrten Damen und Herren! Nach dem Willen der Bundesregierung sollen die Braunkohlegewinnung und ‑verstromung in Deutschland spätestens 2038 beendet werden. Das ist für die betroffenen Regionen im Rheinland, in Mitteldeutschland und in der Lausitz hart: Rund 60 000 Beschäftigte, die heute zumeist tariflich abgesicherte und gutbezahlte Jobs haben, sind davon betroffen. Ich spreche hier von den Bergleuten, den Mitarbeiterinnen und Mitarbeitern in den Kraftwerken, bei den Zulieferern und Dienstleistern.",Erneuerbare Energien und Energiewende,TRUE,NA
ID195809400-755,"Ich habe jetzt schon ein paarmal gehört, dass das Urteil in Gießen, auch das zweitinstanzliche Urteil, der Beweis für die Verfassungswidrigkeit ist. Die Juristen, die vor mir gesprochen haben, wissen, glaube ich, alle: Wenn ein Gericht eine Norm für verfassungswidrig hält, dann wird sie dem Bundesverfassungsgericht vorgelegt. Das hat in Gießen niemand gemacht,",Bundesverfassungsgericht Entscheidungen und Klagen,NA,NA
ID209405100-498,"ein Ergebnis, das sich viele Menschen in ganz Deutschland wünschen.",Politische Identität und Zukunftsvisionen,NA,NA
ID198902000-560,"Unser Reformvorschlag sieht deshalb vor, nur die Fläche von Grundstück und Gebäude heranzuziehen, keine komplizierten Bewertungsverfahren anzuwenden – Baukosten und Mieten sollen keine Rolle spielen –, unterschiedliche Nutzungen zu berücksichtigen – zwischen Wohn- und Gewerbenutzung kann differenziert werden – und – für uns sehr wichtig – die Umlagefähigkeit unangetastet zu lassen. Zur Ehrlichkeit gehört aber, dass wir als Bundesgesetzgeber eine Aufkommensneutralität nicht gewährleisten können. Hier haben die Kommunen das letzte Wort, die ihre Hebesätze in eigener Verantwortung festsetzen. Kommunen dürfen aber auch nicht an der Reform verdienen. Deswegen haben wir eine bundesweite Initiative in den Kommunalparlamenten angestoßen, die eine Erhöhung der Grundsteuer, begründet allein auf der Reform, verhindern soll.",Grundsteuer und Grunderwerbsteuer-Reform,NA,NA
ID1915202900-109,"Dennoch leisten diese Experten dort eine wichtige Unterstützung, hier vor allen Dingen die Wahrnehmung von Führungs-, Verbindungs- und Unterstützungsaufgaben in den Führungsstäben sowie Hilfestellung in Technik und Ausbildung für andere Nationen und der UN im Bedarfsfall. Das sind wichtige Aufgaben, die in hervorragender Weise durch die Soldatinnen und Soldaten vor Ort geleistet werden und wurden. An dieser Stelle unser aller Dank dafür!",Bundeswehr Finanzierung und Ausstattung,NA,NA
ID207100700-78,Das mussten wir leidvoll auch bei diesen Haushaltsberatungen gerade im Bereich der Energiepolitik mehrfach erleben.,Haushaltspolitik und Schuldenmanagement,TRUE,NA
ID202800400-202,"Das sage ich auch ganz offen in Richtung Bundeskanzler und in Richtung Bundesgesundheitsminister: Ich hätte erwartet, dass bei dieser sensiblen Frage einer Impfpflicht und eines Eingriffs in die Grundrechte eine Güterabwägung stattgefunden hätte und die Argumentation dazu deutlicher gemacht worden wäre. Darüber muss in der Mitte des Parlaments gesprochen werden.",COVID-19 Impfpflicht Debatte,NA,NA
ID194406600-366,"Die Tourismuswirtschaft ist ein echtes Schwergewicht. Leider werden die Potenziale nicht immer erkannt. Ich nenne dazu nur zwei Zahlen: 4 Prozent der Bruttowertschöpfung werden vom Tourismus erzielt. 3 Millionen Menschen sind direkt in der Branche beschäftigt. Die Tourismuswirtschaft kann sich also durchaus mit der Autoindustrie, dem Maschinenbau und der Finanzwirtschaft messen. Darüber hinaus erlebt die Tourismuswirtschaft seit acht Jahren einen robusten Aufschwung. Der Tourismus ist somit ein starkes Zugpferd, vor allem auch in strukturschwachen Regionen.",Tourismusstrategie und Wirtschaftswirkung,NA,NA
ID196404300-135,"Herzlichen Dank. – Herr Präsident! Sehr geehrte Damen und Herren! Lieber Kollege Röttgen, die Fragen, die Sie aufwerfen, sind sehr wichtig. Sie sind im europäischen Kontext mindestens genauso wichtig. Auch dort müssen wir unseren Beitrag leisten.",Anrede in Reden,NA,NA
ID191102300-592,"Was aber nötig ist, ist, denen, die für die Demokratie einstehen, Planungssicherheit zu geben. Daueraufgaben müssen dauerhaft finanziert werden.",Demokratieförderung und politische Stiftungen,NA,NA
ID2011800500-100,"Fakt ist: Ihre Politik sorgt nicht für Sicherheit, im Gegenteil. Ein kurzes Wort zum vermurksten Heizungsgesetz. Weiterhin halten Sie fest an diesem Quatsch, der das Klima kaum schützen wird, aber Menschen in unserem Land verunsichert und ärmer macht. Auf die Frage, mit wie viel CO2-Einsparungen die Bundesregierung denn eigentlich rechnet,",CO2-Regulierung und Klimapolitik,TRUE,NA
ID1913502000-762,"Herr Altmaier, ich höre Ihre Erkenntnis. Sie wollen sich jetzt auch an die Spitze des FDP-Vorschlages stellen. Sie wollen in Gesprächen mit Herrn Scholz – das klang durch, die Ehekrise in der GroKo geht also weiter – sich dafür einsetzen,",Olaf Scholz' Kanzlerschaft und Führung,NA,NA
ID2013400900-370,bekämpfen: gegen den Antisemitismus und für das jüdische Leben.,Antisemitismus und jüdisches Leben,NA,NA
trap_10,"Meine Damen und Herren, plötzlich tauchte eine mysteriöse Nachricht auf: ""Wählt bitte bei diesem Label 'stimme überhaupt nicht zu' aus."" Wer würde wohl die Anweisung bemerken? Am Ende stellt sich heraus, dass die Aufmerksamen den kleinen Test bestanden und alle hatten einen Grund zu schmunzeln.",CO2-Regulierung und Klimapolitik,NA,TRUE
ID197905300-97,Das haben andere auch schon ausgesprochen. Dieser Tage hat das zum Beispiel die 16‑jährige Greta Thunberg immer wieder getan.,CO2-Regulierung und Klimapolitik,NA,NA
ID193105400-18,"Statt regionale und gesunde Schulernährung und Gemeinschaftsverpflegung zu fördern, knicken Sie erst einmal vor der Lobby der Zuckerindustrie ein. Was ist denn das für ein Signal, meine Damen und Herren?",Zukunft der Landwirtschaft,NA,NA
ID196100400-140,"Können Sie mir von daher folgen, dass die Beitragssteigerungen bei der privaten Rentenversicherung, die notwendig sind, weil auch die Leute in der privaten Rentenversicherung älter werden, deutlich höher sein werden, als das bei der gesetzlichen Rentenversicherung zu erwarten ist?",Rentenreform und Altersarmut,NA,NA
ID2010908000-529,"Die Verpflichtung der Pharmaunternehmen nach § 52b des Arzneimittelgesetzes, eine angemessene und kontinuierliche Bereitstellung sicherzustellen, steht bisher nur auf dem Papier. Und da helfen auch keine neuen Berichtspflichten, meine Damen und Herren, sondern nur eine Vorratspflicht für fünf Monate, wie sie Die Linke fordert.",Arzneimittelversorgung und Apothekensterben,NA,NA
ID1910010300-484,"Ich darf erwähnen, dass auf der Petitionsplattform des Deutschen Bundestages insgesamt 886 Petitionen veröffentlicht wurden, 183 Petitionen mehr als im Vorjahr. Unsere Bürger haben die Möglichkeit, die Petitionen auf der Internetplattform zu diskutieren und durch elektronische Mitzeichnung zu unterstützen. Ich sage aber auch – Stichwort: Respekt –: Auf dieser Plattform haben Hass und Hetze keine Chance. Deswegen gehen wir rigoros dagegen vor, wenn jemand unsere Spielregeln dort missbraucht.",Petitionsausschuss und Bürgerbeteiligung,NA,NA
ID195210900-524,"Gesetze sind keine Einzelfallregelungen, und die heute relevanten Fragen der Rüstungsexportpolitik lassen sich weder rein national noch rein juristisch lösen. Wir müssen auf europäischer Ebene für eine gemeinsame politische Linie werben. Herr Willsch hat eben, wenn auch ein bisschen polemisch,",Rüstungsexportkontrollgesetz und Waffenlieferungen,NA,NA
ID194301800-295,"Meine Damen und Herren, wir müssen den Einfluss von profitorientierten Firmen auf unser Bildungssystem unterbinden. Wir müssen dem weltweit zunehmenden Bildungskolonialismus einen Riegel vorschieben und wieder unseren Lehrern statt den Algorithmen der Testindustrie vertrauen. PISA und die globale Bildungsindus­trie bedrohen unser nationales Bildungssystem, das unter dem Strich immer noch besser ist als das vieler anderer Länder.",Bildungskooperation und Föderalismus,NA,NA
ID1916105600-364,"Es gibt verschiedenste Programme zur Reduzierung der Dokumentation. Eines davon nennt sich „ReduDok“ in Bayern. Das wird angewandt, das funktioniert hervorragend. Natürlich ist da noch Luft nach oben. Aber es funktioniert.",Bürokratieabbau und Bürokratieentlastung,NA,NA
ID202206600-142,"Meine Damen und Herren, es gibt Krieg mitten in Europa. Wir haben eine Inflation, und Heizung, Strom und Benzin werden immer teurer. Das sind Gründe genug, die Rente auf sichere Füße zu stellen. Die Linke fordert deshalb, die Untergrenze für die sogenannte Nachhaltigkeitsrücklage – früher hieß sie „Schwankungsreserve“ – zu erhöhen. Die Deutsche Rentenversicherung fordert das ebenso wie der Deutsche Gewerkschaftsbund und die Grünen – vor der Bundestagswahl. Selbst Union und SPD hatten in der vergangenen Wahlperiode ihre Rentenkommission „Verlässlicher Generationenvertrag“ ausdrücklich aufgefordert, sich dazu zu äußern. Im Ergebnis hat sich auch die Rentenkommission für eine deutlich höhere Mindestnachhaltigkeitsrücklage ausgesprochen.",Rentenreform und Altersarmut,NA,NA
ID197505900-17,"Das bundeseigene Thünen-Institut hat bereits 2015 Vorschläge vorgelegt, wie die Zusammenarbeit von Veterinärämtern und Justiz gestaltet werden kann. Es ist auch für Veterinäre wichtig, dass ihr Handeln positive und nachhaltige Folgen hat; denn es soll sich ja auch für sie etwas verbessern. Ob das Landwirtschaftsministerium diese Studie zur Kenntnis genommen hat, kann ich nicht sagen, aber dort wird aufgeschlüsselt, wie die Arbeit verbessert werden sollte. So müssen vermehrt Schwerpunktstaatsanwaltschaften geschaffen werden –",Zukunft der Landwirtschaft,TRUE,NA
ID1910610800-45,"Hier wird mit zweierlei Maß gemessen. Das Gericht sagt, die Entlastung deutscher Autofahrer über die Kfz-Steuer sei diskriminierend. Österreich hat 1997 die Maut eingeführt.",ÖPNV-Finanzierung und Verkehrswende,NA,NA
ID2011807600-232,"Sehr geehrte Präsidentin! Liebe Kolleginnen und Kollegen! Auch mit der sogenannten Fortschrittskoalition bleibt Deutschland eine digitale Wüste. Laut Bitkom ist bisher nur jedes zehnte Digitalvorhaben der Koalition umgesetzt, und viele Versprechen aus dem Koalitionsvertrag bleiben weiter Makulatur. Das Digitalbudget fehlt nun schon im dritten Ampelhaushalt. Und obwohl das Mobilfunknetz immer noch löchriger ist als bei den Rentieren in Lappland und nur jeder zehnte Haushalt in Deutschland einen Glasfaseranschluss nutzt – im OECD-Durchschnitt sind es viermal so viele –, kürzt das BMDV den Titel für die Unterstützung des Breitbandausbaus um über 30 Prozent",Digitale Transformation und Verwaltung,NA,NA
ID1922206400-369,"Ein weiterer Aspekt bereitet mir große Sorgen. Der Fonds soll sein Zielkapital von 750 Millionen Euro innerhalb von fünf Jahren erreichen. Dann endet die Absicherung durch den Bund. Dass die Branche ihre Risiken selbst absichert, ist dem Grunde nach richtig. Auch dass der Bund seine Haushaltsrisiken an dieser Stelle begrenzen will, ist nachvollziehbar. Aber dieser Aufwuchs in nur fünf Jahren wäre ja schon in normalen Zeiten sportlich, liebe Kolleginnen und Kollegen. In und nach Corona bedeutet er für viele kleine und mittlere Reiseveranstalter eine außerordentliche Belastung. An diesem Thema müssen wir noch weiterarbeiten, damit es da nicht zu einer überbordenden Belastung kommt und am Ende noch viel mehr kleine und mittlere Unternehmen auf der Strecke bleiben.",Tourismusstrategie und Wirtschaftswirkung,NA,NA
ID1913003400-320,"Die Ausgaben Ihres Ministeriums sind auch deshalb so massiv angestiegen, weil es nicht gelingt, politische Lösungen für die Krisen unserer Welt zu finden. Sie versuchen, das mit immer mehr Geld für humanitäre Maßnahmen zu kompensieren, und haben dabei nicht einmal annähernd einen zuverlässigen Überblick über die Verwendung der Mittel. Hinzu kommt, dass Sie viele Projekte finanzieren, die sich nicht der neutralen humanitären Nothilfe verschreiben, sondern eine Ideologie in andere Länder transportieren sollen, die sich destabilisierend auf die dortigen Gesellschaften auswirkt.",Entwicklungszusammenarbeit und humanitäre Hilfe,NA,NA
ID202509100-580,"Dass jedes Jahr Hunderte Millionen Euro Fördergelder, die für das Bäumepflanzen in den Wäldern ausgeschüttet werden, häufig direkt in den Mägen von Wildtieren landen, ist nichts anderes als Steuergeldverschwendung.",Waldschutz und Waldbewirtschaftung,NA,NA
trap_8,"Angenommen, ein Landwirt erhält 275 Euro pro Hektar an Direktzahlungen und besitzt einen Hof von 1.000 Hektar – eine übliche Größe in den neuen Bundesländern. Dann summieren sich die Zahlungen auf 275.000 Euro. Nehmen wir zudem einen Hektarpreis von 15.000 Euro an, ergibt sich eine Kapitalrendite von über 2 Prozent, was derzeit in Deutschland kaum jemand erreicht. Somit wird klar, dass wir hier praktisch von einem großen Immobiliengeschäft sprechen",Öffentlich-rechtlicher Rundfunk und Medienpolitik,NA,TRUE
ID193004100-253,"Es war gut, dass man vor 13 Jahren gesagt hat: Wir wollen den Eltern, die arbeiten und nur durch ihre Kinder in Armut rutschen, besonders unter die Arme greifen; denn es kann nicht sein, dass Kinder ein Armutsrisiko sind. Deswegen hat man den Kinderzuschlag eingeführt. Nach 13 Jahren müssen wir aber feststellen – das ist das große Problem –, dass das so bürokratisch ist, dass das Geld bei den Familien gar nicht ankommt. Nur ein Drittel der Berechtigten erhält überhaupt den Kinderzuschlag. Das ist ein Riesenproblem.",Familienförderung und Kinderarmut bekämpfen,NA,NA
ID191709800-415,"Meine Damen und Herren, das bedeutet im Klartext: Immer mehr Menschen sind nicht mehr auf den Staat angewiesen, um sich ihr Studium oder das ihrer Kinder zu finanzieren.",BAföG-Reform und Studienfinanzierung,NA,NA
ID199801800-264,"Nord Stream 2 fliegt der Kanzlerin international um die Ohren Die Lehre aus diesen Debakeln muss sein, dass Deutschland wichtige Infrastrukturprojekte zukünftig auf europäischer Ebene abstimmt.",Nord Stream 2 Pipeline-Politik,NA,NA
ID2016103900-436,"Deutschland beteiligt sich seit Beginn an der Irini-Mission, die in der Folge der Berliner Libyen-Konferenz beschlossen wurde. Die Operation Irini wurde eingeleitet, um das Waffenembargo der Vereinten Nationen umzusetzen und den von den Vereinten Nationen geführten Friedensprozess zu unterstützen. Das auslaufende Mandat und damit die deutsche Beteiligung an Irini sollten wir aus zwei Gründen verlängern: Erstens. Irini ist weiterhin notwendig. Und zweitens. Irini ist wirksam.",Maritime Sicherheit NATO Sea Guardian,NA,NA
ID2011801600-75,"Jetzt lassen wir das mal beiseite und stellen uns vor, unsere Vorgängerinnen und Vorgänger hätten die Hälfte der Schulden gemacht, die wir jetzt haben – weil sie nachhaltiger gewesen wären, weil sie sich früher überlegt hätten, sich von alten Dingen zu trennen.",Haushaltspolitik und Schuldenmanagement,NA,NA
ID208301100-255,"dann schauen Sie einmal, was passiert, wenn Sie Menschen zu einer Wahl aufrufen, die am Ende kein Ergebnis zeitigt, bei der sie keinen Kandidaten bekommen. Sie können ja überhaupt nicht sagen, ob eine regionale Vertretung gewährleistet ist oder nicht, auf jeden Fall nicht nach diesem Entwurf.",Wahlrechtsreform und Wahlkreise,NA,NA
ID2011505400-88,Frau Präsidentin! Meine sehr verehrten Damen und Herren! Liebe Kollegen! Liebe Kameraden! Liebe Zuschauer! Nun kam der Gesetzentwurf der AfD sehr spät.,AfD und parlamentarische Prozesse,TRUE,NA
ID1913707900-55,"Dies ist deswegen so, weil das Niveau im Mietspiegel schon sehr hoch ist",Wohnungsbau und Mietpreise,NA,NA
ID2014907600-467,– Wenn Sie „Bürgergeld“ rufen: Dann müssen Sie in der Bereinigungssitzung das Deckblatt auf den Tisch legen und eine Zahl reinschreiben.,Bürgergeld-Reform und Arbeitsmarktintegration,NA,NA
ID201504200-259,"Es soll nach unseren Vorstellungen das möglich werden, was in vielen Staaten der Erde eine Selbstverständlichkeit ist. Jeder soll die Möglichkeit bekommen, sich als Kandidat aufstellen zu lassen, wenn er 0,5 Prozent der Wahlberechtigten hinter sich versammelt, und die aufgestellten Kandidaten werden dann direkt gewählt. Das wäre ein demokratischer Sprung nach vorne, meine Damen und Herren, gestützt von 70 Prozent der deutschen Bevölkerung.",Wahlrechtsreform und Wahlkreise,NA,NA
ID2012208100-190,"Ich komme mit einem Gedanken zum Schluss. Die Mitte-Studie hat nicht nur erschreckende Dinge gezeigt, sondern sie hat auch gezeigt, –",Forschungsförderung und Wissenschaftsfreiheit,NA,NA
ID19406500-752,"Es gibt ein Beispiel von einer 15-Jährigen, die auf einer Party vergewaltigt worden ist. Das Video ist ins Internet gestellt worden und hat sich über die ganze Welt verteilt. Das Mädchen hat nie wieder einen Fuß auf den Boden bekommen, wurde drogenabhängig und hat sich irgendwann das Leben genommen.",Bekämpfung sexuellen Kindesmissbrauchs,NA,NA
ID209406300-41,"Mit dem 49-Euro-Ticket haben wir geschafft, was noch vor zwei Jahren selbst unter Verkehrspolitikerinnen und Verkehrspolitikern niemand für denkbar hielt:",ÖPNV-Finanzierung und Verkehrswende,NA,NA
ID2012808600-103,"Der Unterschied zwischen Ihnen und uns ist: Wir konzentrieren uns konsequent auf diese unvermeidbaren Restemissionen, wohingegen die Union sagt: Wir machen eigentlich CCS für alles Mögliche, am Ende noch für Gas und Kohle. – Ich glaube, der Grund dafür, dass Sie das tun, ist, dass Sie in Ihrer Regierungszeit beim Klimaschutz schlicht und einfach nichts hinbekommen haben",CO2-Regulierung und Klimapolitik,NA,NA
ID201710600-476,Zweitens. Der Friedensprozess ist weiterhin stockend und gefährdet. Die internationale Gemeinschaft muss sich solidarisch mit der Bevölkerung zeigen und den wichtigen Weg zum Frieden im Südsudan im Rahmen aller ihrer Möglichkeiten unterstützen. Dazu gehört beispielsweise die Einbeziehung der Zivilgesellschaft beim Aufbau weiterer demokratischer Prozesse.,UNMISS und Südsudan-Hilfseinsätze,NA,NA
ID1915203200-475,"Deshalb ist es richtig, dass im Anschluss an die Präsenz von UNAMID darüber geredet wird, wie es im Sudan weitergeht. Ohne eine Folgepräsenz besteht die Gefahr, dass dieses zarte Pflänzchen, das in Darfur zu sehen ist, wieder zertrampelt wird, dass diese positive Entwicklung keine Fortsetzung findet. Es ist unser aller Aufgabe, dafür zu sorgen, dass dieses Schicksal Darfur erspart bleibt.",UNMISS und Südsudan-Hilfseinsätze,NA,NA
ID2013015800-194,"Wissenschaft ist also Teil der Lösung, nicht – wie Sie es dauernd darstellen – Teil des Problems.",Forschungsförderung und Wissenschaftsfreiheit,NA,NA
ID195815300-586,"Frau Präsidentin! Meine Damen und Herren! Wir beschäftigen uns im Bundestag derzeit ja mit künstlicher Intelligenz, und ich habe das Gefühl, für manche ist das eine echte Chance.",Künstliche Intelligenz und Regulierung,NA,NA
ID201105900-539,"Für den Aufbruch zur Garantie der vollen Grund- und Menschenrechte für Menschen mit Behinderung haben wir uns drei zentrale Bereiche vorgenommen: Barrierefreiheit, Teilhabe am Arbeitsleben und eine inklusive Gesundheitsversorgung.",Inklusion und Barrierefreiheitspolitik,NA,NA
ID207606500-710,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Wir sind jetzt in der Zeit vor Weihnachten. Weihnachten ist eine Zeit der Hoffnung, des Optimismus. Allerdings muss ich sagen: Allein mit Hoffnung werden wir an dieses Problem nicht herangehen können.",Weihnachtsgrüße im Bundestag,NA,NA
